"Customer_ID","Name","Surname","Gender","Age","Region","Job_Classification","Date_Joined","Balance"
"100000001","John","Wilson","Female","46","Chicago","UX Designer","Tue Jul 04 21:03:16 IST 2023","58180.8052138368"
"100000002","Olivia","Johnson","Male","37","Seattle","Business Analyst","Tue Jul 04 21:03:16 IST 2023","75001.26129467764"
"100000003","Olivia","Wilson","Male","35","Chicago","Project Manager","Tue Jul 04 21:03:16 IST 2023","97861.02275395024"
"100000004","Olivia","Davis","Female","67","Los Angeles","UX Designer","Tue Jul 04 21:03:16 IST 2023","72547.55612586252"
"100000005","Olivia","Miller","Female","18","Houston","Business Analyst","Tue Jul 04 21:03:16 IST 2023","94827.5850414144"
"100000006","John","Brown","Male","47","Houston","Software Engineer","Tue Jul 04 21:03:16 IST 2023","44135.9635460076"
"100000007","Michael","Brown","Male","60","Los Angeles","Data Analyst","Tue Jul 04 21:03:16 IST 2023","7738.180280402972"
"100000008","Michael","Brown","Male","19","New York","UX Designer","Tue Jul 04 21:03:16 IST 2023","83894.38391941937"
"100000009","Emma","Brown","Male","68","Chicago","Project Manager","Tue Jul 04 21:03:16 IST 2023","22047.990311657297"
"100000010","John","Miller","Male","55","Houston","UX Designer","Tue Jul 04 21:03:16 IST 2023","40650.77127490302"
"100000011","Sophia","Johnson","Male","52","Seattle","UX Designer","Tue Jul 04 21:03:16 IST 2023","98918.96231942592"
"100000012","Olivia","Davis","Male","65","Houston","Data Analyst","Tue Jul 04 21:03:16 IST 2023","44591.27023179663"
"100000013","John","Johnson","Male","70","Los Angeles","Business Analyst","Tue Jul 04 21:03:16 IST 2023","90629.78226544333"
"100000014","Sophia","Brown","Female","39","New York","Software Engineer","Tue Jul 04 21:03:16 IST 2023","87768.67812614361"
"100000015","Emma","Wilson","Male","70","Los Angeles","Business Analyst","Tue Jul 04 21:03:16 IST 2023","26873.217795543114"
"100000016","John","Johnson","Male","25","Seattle","Software Engineer","Tue Jul 04 21:03:16 IST 2023","57222.87297552406"
"100000017","William","Davis","Female","30","Seattle","Data Analyst","Tue Jul 04 21:03:16 IST 2023","3077.581345342227"
"100000018","Sophia","Davis","Male","62","Houston","Project Manager","Tue Jul 04 21:03:16 IST 2023","60224.975158355235"
"100000019","John","Wilson","Female","36","Chicago","Software Engineer","Tue Jul 04 21:03:16 IST 2023","17639.023234218097"
"100000020","Sophia","Miller","Male","28","Seattle","UX Designer","Tue Jul 04 21:03:16 IST 2023","14906.946142817918"
"100000021","Olivia","Miller","Male","18","Chicago","Data Analyst","Tue Jul 04 21:03:16 IST 2023","30701.348678239272"
"100000022","John","Miller","Male","70","New York","Data Analyst","Tue Jul 04 21:03:16 IST 2023","78288.33829587276"
"100000023","William","Smith","Female","44","Houston","Business Analyst","Tue Jul 04 21:03:16 IST 2023","46870.138583981985"
"100000024","Michael","Davis","Female","29","New York","Data Analyst","Tue Jul 04 21:03:16 IST 2023","43461.917547710174"
"100000025","Sophia","Wilson","Male","21","Seattle","Software Engineer","Tue Jul 04 21:03:16 IST 2023","48997.81273333229"
"100000026","William","Johnson","Female","52","New York","Software Engineer","Tue Jul 04 21:03:16 IST 2023","20449.885481425317"
"100000027","Emma","Brown","Female","41","Houston","UX Designer","Tue Jul 04 21:03:16 IST 2023","30926.432186178117"
"100000028","Olivia","Wilson","Male","61","Los Angeles","Business Analyst","Tue Jul 04 21:03:16 IST 2023","86992.41450957922"
"100000029","William","Johnson","Female","57","Miami","UX Designer","Tue Jul 04 21:03:16 IST 2023","5824.890575203314"
"100000030","Sophia","Davis","Female","64","Houston","Business Analyst","Tue Jul 04 21:03:16 IST 2023","85280.19984160601"
"100000031","Sophia","Brown","Male","25","Houston","Business Analyst","Tue Jul 04 21:03:16 IST 2023","89507.2712042858"
"100000032","John","Davis","Male","26","Chicago","Project Manager","Tue Jul 04 21:03:16 IST 2023","72392.78394735324"
"100000033","John","Miller","Male","29","Chicago","Data Analyst","Tue Jul 04 21:03:16 IST 2023","89869.05134183372"
"100000034","Olivia","Wilson","Male","27","Houston","Data Analyst","Tue Jul 04 21:03:16 IST 2023","75954.32550359395"
"100000035","John","Smith","Female","43","Miami","Business Analyst","Tue Jul 04 21:03:16 IST 2023","38327.88267607551"
"100000036","Sophia","Miller","Female","45","Seattle","Project Manager","Tue Jul 04 21:03:16 IST 2023","9268.572216834817"
"100000037","John","Miller","Male","36","Chicago","UX Designer","Tue Jul 04 21:03:16 IST 2023","54905.674317693956"
"100000038","William","Brown","Female","60","Seattle","Business Analyst","Tue Jul 04 21:03:16 IST 2023","30944.730899875787"
"100000039","Olivia","Smith","Male","66","Houston","Project Manager","Tue Jul 04 21:03:16 IST 2023","42338.68445098824"
"100000040","William","Smith","Female","41","Los Angeles","Software Engineer","Tue Jul 04 21:03:16 IST 2023","74775.96395353913"
"100000041","Michael","Brown","Female","43","Seattle","Project Manager","Tue Jul 04 21:03:16 IST 2023","26352.352182206687"
"100000042","Michael","Wilson","Female","64","New York","Software Engineer","Tue Jul 04 21:03:16 IST 2023","72382.23587292968"
"100000043","William","Miller","Female","68","Chicago","Software Engineer","Tue Jul 04 21:03:16 IST 2023","3987.579374271343"
"100000044","Emma","Miller","Male","26","Seattle","Business Analyst","Tue Jul 04 21:03:16 IST 2023","39879.20721252276"
"100000045","Sophia","Smith","Male","35","Miami","UX Designer","Tue Jul 04 21:03:16 IST 2023","67615.18147720983"
"100000046","William","Wilson","Male","52","Seattle","Data Analyst","Tue Jul 04 21:03:16 IST 2023","16584.919544843535"
"100000047","Michael","Davis","Male","26","New York","UX Designer","Tue Jul 04 21:03:16 IST 2023","13025.232633273192"
"100000048","Michael","Johnson","Female","60","New York","Project Manager","Tue Jul 04 21:03:16 IST 2023","66525.98581200623"
"100000049","Michael","Davis","Female","55","Chicago","Project Manager","Tue Jul 04 21:03:16 IST 2023","40728.014477157405"
"100000050","Michael","Miller","Female","41","Seattle","Business Analyst","Tue Jul 04 21:03:16 IST 2023","83254.98018517585"
"100000051","Michael","Wilson","Female","37","Seattle","Software Engineer","Tue Jul 04 21:03:16 IST 2023","26353.299073559836"
"100000052","John","Miller","Male","52","Miami","Software Engineer","Tue Jul 04 21:03:16 IST 2023","54240.78387484713"
"100000053","Olivia","Brown","Male","26","Chicago","Project Manager","Tue Jul 04 21:03:16 IST 2023","8784.671724451058"
"100000054","Sophia","Johnson","Male","64","Los Angeles","Software Engineer","Tue Jul 04 21:03:16 IST 2023","79843.58026939594"
"100000055","John","Miller","Male","29","Miami","Business Analyst","Tue Jul 04 21:03:16 IST 2023","15415.626301115482"
"100000056","Sophia","Smith","Female","54","New York","Project Manager","Tue Jul 04 21:03:16 IST 2023","60636.20790031174"
"100000057","Olivia","Wilson","Male","25","Houston","Business Analyst","Tue Jul 04 21:03:16 IST 2023","41664.13662051897"
"100000058","Olivia","Wilson","Female","23","New York","UX Designer","Tue Jul 04 21:03:16 IST 2023","80583.6479612114"
"100000059","John","Brown","Female","44","Los Angeles","Business Analyst","Tue Jul 04 21:03:16 IST 2023","36632.43873387923"
"100000060","William","Davis","Male","47","Seattle","UX Designer","Tue Jul 04 21:03:16 IST 2023","63342.268578967894"
"100000061","Sophia","Johnson","Male","47","Miami","Data Analyst","Tue Jul 04 21:03:16 IST 2023","68548.71953331496"
"100000062","Emma","Johnson","Female","49","Seattle","UX Designer","Tue Jul 04 21:03:16 IST 2023","75690.65493418527"
"100000063","Michael","Wilson","Male","61","Seattle","UX Designer","Tue Jul 04 21:03:16 IST 2023","76377.47088549632"
"100000064","William","Miller","Female","61","Chicago","UX Designer","Tue Jul 04 21:03:16 IST 2023","3853.645216530913"
